time_sim,sim_dx,sim_dy,sim_dz,sim_vx,sim_vy,sim_vz,sim_phi,sim_theta,sim_psi,sim_p,sim_q,sim_r,sim_Mx_ext,sim_My_ext,sim_Mz_ext,sim_omega1,sim_omega2,sim_omega3,sim_omega4,time_ref,ref_dx,ref_dy,ref_dz,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r,ref_Mx_ext,ref_My_ext,ref_Mz_ext,ref_omega1,ref_omega2,ref_omega3,ref_omega4
9.305824650621803695e-02,-2.206951033531949768e+00,-1.982279819029268975e+00,-1.581332247507186262e+00,-9.208356526073940840e-01,-9.604159783371402082e-01,-4.243541367084741056e-01,-5.478134900344839853e-01,3.906788554106981337e-01,3.006918659530216420e+00,1.048472507838464074e-01,-1.787534527628340753e+00,-1.115435700121746088e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.003224288926194276e+03,7.881149654775595991e+03,6.549963311541599069e+03,7.531233512086880182e+03,9.305824650621806471e-02,-2.105388576833189695e+00,-2.091018098591286289e+00,-1.577344103847854839e+00,-8.876180852983011071e-01,-9.940996116219209533e-01,-4.827042650515795952e-01,-5.416589650391818722e-01,3.905294528035212487e-01,2.964137989253750050e+00,6.958922498477460028e-01,-1.306215509603604996e+00,-1.768353509225491393e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.159729407158007234e+03,7.686124771942490042e+03,7.424823081189668301e+03,7.253978826494260829e+03
1.015180870976924166e-01,-2.203422577850721709e+00,-1.996287889931275705e+00,-1.543133778796595301e+00,-9.462108139871818757e-01,-1.007324618460309074e+00,-4.248499193371729765e-01,-5.469995823674387303e-01,3.730962528318203519e-01,3.006541466597667078e+00,1.173608946768235628e-01,-1.718035960425413400e+00,-1.118610492899288378e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.972699764574585060e+03,7.890131184209089042e+03,6.552627402175903626e+03,7.454557222619039749e+03,1.015180870976924304e-01,-2.082079262185174251e+00,-2.124087016301630992e+00,-1.537929394436475805e+00,-9.055539010494487728e-01,-1.047788954832761243e+00,-4.907440250822003303e-01,-5.383947711400766112e-01,3.737284351557147999e-01,2.955890540482237316e+00,8.012298738061749415e-01,-1.168331397775504099e+00,-1.825234190552060820e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.190981834822247038e+03,7.664079780474475228e+03,7.453943212302102438e+03,7.148209031804843107e+03
1.099779276891667823e-01,-2.198035448333351294e+00,-2.009907226729459762e+00,-1.506266189894897467e+00,-9.694644541608957722e-01,-1.054609796441212888e+00,-4.245741429195880046e-01,-5.462873684641055272e-01,3.560164252973308519e-01,3.005795745811779440e+00,1.106300558268550754e-01,-1.645410404294595619e+00,-1.120971019870957708e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.939111149972242856e+03,7.896681411624315842e+03,6.558001993111455704e+03,7.385950590322853714e+03,1.099779276891667962e-01,-2.054899091843985559e+00,-2.158323444371405220e+00,-1.499146655637281889e+00,-9.203433628579418269e-01,-1.102505999504649115e+00,-4.975906560050603611e-01,-5.345415774081272442e-01,3.577436917176999298e-01,2.946549980963801829e+00,8.971264782923880077e-01,-1.025446560428924236e+00,-1.878454470427886491e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.204948301180045746e+03,7.641659381396624667e+03,7.488120810596574302e+03,7.057156033671008117e+03
1.184377682806411480e-01,-2.190850342974938414e+00,-2.022879719366594831e+00,-1.471116273014961617e+00,-9.906123849410827242e-01,-1.102174636400246488e+00,-4.238504426359334665e-01,-5.458235407348589474e-01,3.394576938036920066e-01,3.004679834032188079e+00,8.589302763167007415e-02,-1.570998928860079635e+00,-1.123816839186004168e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.905960498413705864e+03,7.900929323019339790e+03,6.566573249429012321e+03,7.322848460714694738e+03,1.184377682806411758e-01,-2.023964768181559126e+00,-2.193386014346643265e+00,-1.461136822764836474e+00,-9.319867388324940549e-01,-1.158081077767847633e+00,-5.033384620715235513e-01,-5.301546584993138689e-01,3.426177495281223506e-01,2.936138428525456145e+00,9.821776432967695980e-01,-8.818473083706616089e-01,-1.928404382191292843e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.204549875577366038e+03,7.618648957859586517e+03,7.525857384000260936e+03,6.979539246199437912e+03
1.268976088721155138e-01,-2.181927889695274292e+00,-2.035000902171061554e+00,-1.438029166417891025e+00,-1.009672290408443862e+00,-1.149947167417035176e+00,-4.230034779193640460e-01,-5.457440818180910869e-01,3.234269886523469806e-01,3.003190167611442529e+00,4.479320081325538494e-02,-1.495217042303815358e+00,-1.127892071028951504e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.876891506902248693e+03,7.902756333532697681e+03,6.575428460144513338e+03,7.262650473945651356e+03,1.268976088721155415e-01,-1.989425662183446963e+00,-2.228937592934411960e+00,-1.424005377348499968e+00,-9.405030084667234114e-01,-1.214340608420995338e+00,-5.080833501426011978e-01,-5.252949970067565255e-01,3.283732317199771766e-01,2.924688614660337471e+00,1.055356149148922951e+00,-7.412615659733231555e-01,-1.975494699381498354e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.192652401105298850e+03,7.595002610641797219e+03,7.565775057607742383e+03,6.913937797714397675e+03
1.353574494635898795e-01,-2.171314020458188665e+00,-2.046123166554677741e+00,-1.407313622511164652e+00,-1.026657202670235858e+00,-1.197882515708120543e+00,-4.223523557008642126e-01,-5.461701256105243596e-01,3.079266777426682422e-01,3.001316558750168895e+00,-1.022475328025610614e-02,-1.417624467518656894e+00,-1.134433830168118051e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.855614608569350821e+03,7.900843155700725220e+03,6.583445652475135830e+03,7.203529648624401489e+03,1.353574494635899073e-01,-1.951477654180719501e+00,-2.264659065442201413e+00,-1.387800860314717166e+00,-9.459406514287593826e-01,-1.271109879743704374e+00,-5.118956932381598657e-01,-5.200315408418717533e-01,3.149997090248513598e-01,2.912249426350542958e+00,1.116311126651853503e+00,-6.063943947866321516e-01,-2.020056189298374605e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.171629244620275131e+03,7.570682328325839080e+03,7.606732735579140353e+03,6.859174984230810878e+03
1.438172900550642452e-01,-2.159034647080054103e+00,-2.056153341737080975e+00,-1.379241229853391371e+00,-1.041572967412510931e+00,-1.245961572245757987e+00,-4.222069195555222532e-01,-5.472024008180446097e-01,2.929604168351901405e-01,2.999040759928334854e+00,-7.636961258126598318e-02,-1.337255053729000442e+00,-1.143661858779261520e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.842746107060900613e+03,7.895838815529967178e+03,6.589674701251293300e+03,7.143953037890783889e+03,1.438172900550642730e-01,-1.910331273835911947e+00,-2.300244456594625397e+00,-1.352550106424128540e+00,-9.483599032273679619e-01,-1.328216001534313850e+00,-5.148432372247124800e-01,-5.144352981066687702e-01,3.024736807257027427e-01,2.898875474275993014e+00,1.164969413909409113e+00,-4.795063869847134841e-01,-2.062389394969916356e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.143603052019096140e+03,7.545795561256401015e+03,7.647731895207672096e+03,6.814010217972039754e+03
1.522771306465386110e-01,-2.145092409329230065e+00,-2.065045788090240642e+00,-1.354049448679697676e+00,-1.054416054190773666e+00,-1.294187972149754895e+00,-4.228644470968996316e-01,-5.489203957202097861e-01,2.785360300513438081e-01,2.996335303930613758e+00,-1.507866968190787749e-01,-1.253023146510662489e+00,-1.156545847360243018e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.839149807234728542e+03,7.885983072629847811e+03,6.595086305200755305e+03,7.083286169905299175e+03,1.522771306465386387e-01,-1.866214793860549115e+00,-2.335417892161824494e+00,-1.318247371261572765e+00,-9.478377913422707524e-01,-1.385493916120339675e+00,-5.169865803281653571e-01,-5.085783854151634253e-01,2.907507817337933731e-01,2.884629229139213269e+00,1.201716188297423660e+00,-3.620733936415050924e-01,-2.102730101740557078e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.110331706357372241e+03,7.520431295304062587e+03,7.687945603518503049e+03,6.777416098090415289e+03
1.607369712380129767e-01,-2.129470875571684463e+00,-2.072793829900060114e+00,-1.331936495300426904e+00,-1.065174900768565136e+00,-1.342583331598427909e+00,-4.246042689581806528e-01,-5.513797614038372652e-01,2.646667449546983852e-01,2.993165233540609815e+00,-2.303289627398453776e-01,-1.163728909018325597e+00,-1.172731238705004397e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.845333864398421611e+03,7.872069871542327746e+03,6.597537203111259259e+03,7.021481849014364343e+03,1.607369712380130045e-01,-1.819359888055164909e+00,-2.369920305688018924e+00,-1.284875698062582394e+00,-9.444575653642011126e-01,-1.442783990638570213e+00,-5.183751566378054232e-01,-5.025318777222074207e-01,2.797788797854214304e-01,2.869575335921314085e+00,1.227116432596482731e+00,-2.552369738580633207e-01,-2.141291257693570316e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.073349021523365082e+03,7.494773649327015846e+03,7.726685122552906250e+03,6.748325031567866972e+03
1.691968118294873424e-01,-2.112140061264656588e+00,-2.079418818690107251e+00,-1.313058918287644872e+00,-1.073833344893333264e+00,-1.391180480348771953e+00,-4.276843551613138672e-01,-5.546097236510989514e-01,2.513742968844385195e-01,2.989490318667575419e+00,-3.118451852122343104e-01,-1.068154783627815130e+00,-1.192209546712426960e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.860174497450598210e+03,7.854106328453435708e+03,6.598097464781842973e+03,6.959011977724600911e+03,1.691968118294873979e-01,-1.769998163912037681e+00,-2.403526946984126944e+00,-1.252402873440242592e+00,-9.383092273792003057e-01,-1.499939649538795550e+00,-5.190661305728064834e-01,-4.963624924722160880e-01,2.694943342802313402e-01,2.853780254289298934e+00,1.242016865132855363e+00,-1.595583008652171619e-01,-2.178236721313629332e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,9.033925235272843565e+03,7.468975102472330036e+03,7.763380069388385891e+03,6.725852884150842328e+03
1.776566524209617082e-01,-2.093060495689253120e+00,-2.084961804350049963e+00,-1.297529190580791525e+00,-1.080372683142251100e+00,-1.440018183496356352e+00,-4.323360443205268022e-01,-5.586137620100990464e-01,2.386883598687377650e-01,2.985266496633785849e+00,-3.922718152142195547e-01,-9.652421422962315090e-01,-1.214282387257137330e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.882847777988907183e+03,7.832813806929365455e+03,6.595441344901263619e+03,6.896834623143183308e+03,1.776566524209617637e-01,-1.718357970222775144e+00,-2.436030493265395336e+00,-1.220792290738863528e+00,-9.294848048024018095e-01,-1.556821623899112383e+00,-5.190982063131401869e-01,-4.901335860506081943e-01,2.598298026134943095e-01,2.837310133496455222e+00,1.247364170071640022e+00,-7.535874700912260915e-02,-2.213710452818475005e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.993106925024185330e+03,7.443246455802505807e+03,7.797603534334117285e+03,6.709101422991421714e+03
1.861164930124360739e-01,-2.072187959871701679e+00,-2.089475143976324834e+00,-1.285414270712484486e+00,-1.084774894372193321e+00,-1.489135462637219520e+00,-4.387611055101317548e-01,-5.633700301010269307e-01,2.266470440629493321e-01,2.980447693835589273e+00,-4.688586938596627229e-01,-8.540295154264440081e-01,-1.238364978041467612e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.911582208643862941e+03,7.809815429466389105e+03,6.590476280599926213e+03,6.835518681881560042e+03,1.861164930124361294e-01,-1.664657546278799582e+00,-2.467257268313106433e+00,-1.190002572605301845e+00,-9.180758411716669620e-01,-1.613305807075543941e+00,-5.185268587050144706e-01,-4.839003896105401048e-01,2.507135411073818099e-01,2.820228908199472695e+00,1.244241236269834960e+00,-2.555160731405212767e-03,-2.247821795708349057e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.951760820531542777e+03,7.417762285441949643e+03,7.829001969147864656e+03,6.697326770577107709e+03
1.945763336039104396e-01,-2.049477174776600741e+00,-2.093012401900148145e+00,-1.276740905388546343e+00,-1.087025390723883156e+00,-1.538565882829112663e+00,-4.471326009570192328e-01,-5.688358938800542886e-01,2.152964111274453529e-01,2.974987281288835828e+00,-5.394639162999882442e-01,-7.337648302539895306e-01,-1.263410923942320130e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.944183451288947253e+03,7.786651963718657498e+03,6.583046071750650299e+03,6.776308437776133360e+03,1.945763336039104952e-01,-1.609108371473229493e+00,-2.497049814098359466e+00,-1.159991682457941042e+00,-9.041730105237792969e-01,-1.669275884401987042e+00,-5.173842890710632636e-01,-4.777133585176432939e-01,2.420731374651267642e-01,2.802598640587628864e+00,1.233767922589614763e+00,5.909640160354892591e-02,-2.280666353148094849e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.910548016821274359e+03,7.392724225436457345e+03,7.857363119766063392e+03,6.689788761861174862e+03
2.030361741953848331e-01,-2.024881974100932958e+00,-2.095624338619731297e+00,-1.271499012528721773e+00,-1.087113022136906082e+00,-1.588335234536415230e+00,-4.575926514006127266e-01,-5.749527662822897511e-01,2.046880786945404207e-01,2.968838242338895039e+00,-6.024635156307680539e-01,-6.041087444433855813e-01,-1.288984336457879909e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,7.978560399718944609e+03,7.763548842284914826e+03,6.574897138406867271e+03,6.720533511300505779e+03,2.030361741953848609e-01,-1.551906932037602216e+00,-2.525280915127828596e+00,-1.130718036066018062e+00,-8.878618066430974398e-01,-1.724630461351200905e+00,-5.157230657839223520e-01,-4.716128252226978734e-01,2.338369842654308139e-01,2.784476790869738760e+00,1.217089813191733372e+00,1.101005269712110740e-01,-2.312316629455532180e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.870016004096605684e+03,7.368299260256920206e+03,7.882511206446190045e+03,6.685874424309691676e+03
2.114960147868591989e-01,-1.998356558662958360e+00,-2.097356862607077321e+00,-1.269641796073563977e+00,-1.085029883930629824e+00,-1.638460528955608009e+00,-4.702503359524852766e-01,-5.816505444665229785e-01,1.948754767044195702e-01,2.961954060213144224e+00,-6.566901589581177756e-01,-4.650940485263332924e-01,-1.314293862552382564e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.013229845156423835e+03,7.741624441072913214e+03,6.566018041839260150e+03,6.669121978359185960e+03,2.114960147868592266e-01,-1.493241504995770352e+00,-2.551837413914406216e+00,-1.102140971861850893e+00,-8.692250947760455926e-01,-1.779275408976916495e+00,-5.135702631809306862e-01,-4.656337808062365746e-01,2.259349675703025695e-01,2.765918106831607659e+00,1.195343462720545702e+00,1.510592208458821362e-01,-2.342837525172287272e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.830532523303438211e+03,7.344657197509453908e+03,7.904405844552713461e+03,6.684989118758485347e+03
2.199558553783335646e-01,-1.969858121818748531e+00,-2.098248545529918463e+00,-1.271086059828565595e+00,-1.080772652906962561e+00,-1.688948921491435939e+00,-4.851756910384621424e-01,-5.888507337533930297e-01,1.859118810724124382e-01,2.954290319122782726e+00,-7.012230760980018296e-01,-3.171945520272048125e-01,-1.338818829882420181e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.046101207001872353e+03,7.719989165568362296e+03,6.557383321910431732e+03,6.623908823219178885e+03,2.199558553783335924e-01,-1.433283806947397876e+00,-2.576631680711273020e+00,-1.074222110948597431e+00,-8.483380086928398178e-01,-1.833129688934581614e+00,-5.109731547362021953e-01,-4.598006484112803216e-01,2.183013721535184137e-01,2.746971589437650962e+00,1.169613442415762483e+00,1.827215086660295695e-01,-2.372278987803034145e+00,-2.584718532831941848e-02,-1.033819953489917634e-02,-1.966480388550254088e-03,8.792402121619799800e+03,7.321938664499872175e+03,7.923013589326240435e+03,6.686640391061760056e+03
